நான் உன்னை காதலிக்கிறேன்.	I love you.
என்ன நடந்தது என்பதை தெரிந்து கொள்ள விரும்பினேன்.	I tried to understand what had happened.
உங்கள் ஆங்கிலம் மேம்படுத்த வேண்டுமென விரும்புகிறீர்களா?	Would you like to improve your English?
நீங்கள் எங்கே போகிறீர்கள்?	Where are you going?
நீ எங்கே இருக்கிறாய்?	Where are you?
ஒரு விசித்திரமான ஒன்று இன்று காலை எனக்கு நடந்தது.	Something extraordinary happened to me this morning.
நான் என்று படம் விரும்புகிறேன்.	"I like the movie ""Me""."
அவன் அந்தக் கத்திகளைத் தீட்டினான்.	He sharpened the knives.
நான் உன்னை எழுப்பியபோது நீ எதைப் பற்றி கனவு கண்டுகொண்டிருந்தாய்?	What were you dreaming about when I woke you?
இறப்பு மட்டும்தான் விடுதலையா?	Is death the only liberation?
நீ ஏன் தூங்கவில்லை?எனக்குத் தூக்கம் வராததால் நான் தூங்கவில்லை.	Why didn't you sleep? ""I didn't sleep because I wasn't sleepy."""
நீ ஏன் உண்ணவில்லை? எனக்குப் பசிக்காததால் நான் உண்ணவில்லை.		"Why didn't you eat? ""I didn't eat because I wasn't hungry."""
நீ ஆங்கிலம் பேசும்போது தவறு செய்ய அஞ்சாதே.	Don't be afraid to make mistakes when you speak English.
உங்களுக்கு பாடல்கள் பிடிக்குமா?	Do you like songs?
நாம எல்லார்கிட்டயும் சொல்ல வேண்டாம்.	Let's not tell anyone.
அனைவரும் வெளியே ஓடினர்.	Everyone ran outside.
நான் அவர்களிடம் சொல்லவில்லை.	I didn't inform them.
அனைவரும் அவசரமாக வெளியேறினர்.	Everyone hurried outside.
அனைவரும் வெளியே விரைந்தனர்.	Everyone rushed outside.
நான் அவர்களிடம் சொல்லவில்லை.	I didn't tell them.
நான் அவர்களிடம் தெரிவிக்கவில்லை.	I didn't let them know.
நீ தேடிக்கொண்டிருந்த புகைப்படத்தை நான் கண்டுபிடித்தேன்.	I found the photo you were looking for.
அது நடக்கும் என்று எனக்குத் தெரியும்.	I knew that would happen.
நீ ஏன் செய்யக்கூடாது?	Why don't you?
உன்னால் ஏன் முடியாது?	Why can't you?
ஏன் கூடாது?	Why not?
நீ எவ்வகையான விளையாட்டை ஆடுகிறாய், டோம்?	What kind of game are you playing, Tom?
நீ எவ்வகையான விளையாட்டை ஆடுகிறாய்?	What kind of game are you playing?
அத்திரைப்படத்தைப் பார்த்தபோது நாங்கள் அனைவரும் அழுதோம்.	We all cried when we watched the movie.
இப்பசுக்கள் சலிப்படைந்து காணப்படுகின்றன.	These cows look bored.
மேரி எனக்குப் பிடித்தமான எழுத்தாளர்களில் ஒருவர்.	Mary is one of my favorite authors.
பலர் அவர்கள் ஈட்டுவதைவிட கூடுதலாகச் செலவிடுகின்றனர்.	Many people spend more than they earn.
டோம் மேரிக்கு ஒரு முதலைத் தோல் கைப்பையை வாங்கினான்.	Tom bought Mary a crocodile skin handbag.
நான் என்ன நடக்கும் எனப் பார்க்க விரும்பினேன்.	I wanted to see what would happen.
நான் என்ன நடக்கும் எனத் தெரிந்துகொள்ள விரும்பினேன்.	I wanted to know what would happen.
டோம் இறுதியாக நாம் அவனிடம் கேட்டதைச் செய்து முடித்தான்.	Tom has finally done what we asked him to do.
அவ்வேளையில் அது என்ன என்று நான் அறிந்திருக்கவில்லை.	I didn't know what it was at the time.
டோம் அதைப் பற்றி பள்ளி செய்தித்தாளில் ஒரு கட்டுரை எழுதினான்.	Tom wrote an article about it in the school newspaper.
டோமிடம் என்னைவிட ஒரு நல்ல கார் இருக்கிறது.	Tom has a nicer car than I do.
நான் என்ன செய்கிறேன் என்று டோமுக்குத் தெரியாது.	Tom doesn't know what I do.
டோம் என்னைவிட வேகமாக ஒடுகிறான்.	Tom runs faster than I do.
ஆகவே நான் என்ன செய்ய வேண்டும்?	So what should I do?
டோம் மேரியைத் தன் இல்லத்துக்கு விருந்துக்காக அழைத்தான்.	Tom invited Mary to his home for dinner.
டோம் மூன்று நாட்களாக நினைவிழந்து இருக்கிறான்.	Tom has been unconscious for three days.
டோம் ஏற்கனவே இறந்து போயிருக்கலாம்.	Tom may already be dead.
டோம் மருத்துவமனையில் மூன்று நாட்களாக இருக்கிறான்.	Tom has been in the hospital for three days.
டோம் நாள் முழுதும் இங்கு இருக்கப்போகிறான்.	Tom is going to be here all day.
டோம் நாள் முழுதும் தூங்கிக்கொண்டிருக்கிறான்.	Tom has been sleeping all day.
டோம் நாள் முழுதும் வேலை செய்துகொண்டிருக்கிறான்.	Tom has been working all day.
டோம் நாள் முழுதும் பாடிக்கொண்டிருக்கிறான்.	Tom has been singing all day.
நாள் முழுதும் டோம் எங்கிருந்தான்?	Where's Tom been all day?
டோம் அழாமல் இருக்க முயன்றான்.	Tom tried not to cry.
நான் கழிவறைக்குச் செல்ல வேண்டும்.	I have to go to the toilet.
கடலில் தீவுகளில் உள்ளன.	There are islands in the sea.
பறவை வானத்தில்.	The bird is in the sky.
பூர்ஜ் கலீஃபா தற்போது உலகின் மிக உயரமான கட்டிடத்தை ஆகிறது.	Burj Khalifa is currently the tallest skyscraper in the world.
நான் ஒரு வழி காட்டி	I am a guide.
எனக்கு முன்னால் நட	Walk ahead of me.
நான் வழி காட்டினேன்	I guided.
நான் வழி காட்டுகிறேன்	I guide.
நான் வழி காட்டுவேன்	I will guide.
நாய் ஜாக்கிரதை!	Beware of the dog!
நான் ஒரு விதமான மகிழ்ச்சியிலிருக்கிறேன்	I'm kind of happy.
என்னிடம் பணம் குறைவாக இருக்கிறது	I'm short of money.
எங்களுக்கு உணவு தட்டுப்பாடு ஏற்பட்டது	We ran out of food.
என் மகனைப் பற்றி பெருமைப் படுகிறேன்	I'm proud of my son.
இதற்கு கட்டணமில்லை	It's free of charge.
எனக்குக் கரடிகளைக கண்டால் பயம்	I am afraid of bears.
இது ஒரு கேக்கின் துண்டு	It's a piece of cake.
நீ இதில் தலையிடாதே	You keep out of this.
நாங்கள் அனைவரும் அமைதியாக இருந்தோம்	All of us were silent.
ஜேப்படிகாரர்களிடம் ஜாக்கிரதையாக இருக்கவும்	Beware of pickpockets.
அவனுக்கு நிறைய பணம் கிடைத்தது	He got a lot of money.
அவனிடம் நிறைய பணமிருக்கிறது	He has a lot of money.
அவனுக்கு இறந்து போவதென்றால் பயம்	He is afraid of death.
அவன் கயிற்றை விட்டான்	He let go of the rope.
நான் வேலை பளுவினால் சோர்வாகயிருக்கிறேன்	I am tired of my work.
நான் டாக்ஸியிலிருந்து இறங்கினேன்	I got out of the taxi.
இது உங்களுக்கு சம்பந்தமில்லாத விஷயம்	None of your business.
அவர்கள் மேரியை கிண்டலடித்தார்கள்	They made fun of Mary.
அவர்கள் எல்லோரும் அங்கே சென்றார்கள்	All of them went there.
அவர்களுக்கு பாம்புகள் என்றால் பயம்	He is afraid of snakes.
அவனுக்கு நீச்சல் மீது பற்று உண்டு	He is fond of swimming.
அவன் எனக்குப் பதிலாக சேன்றான்	He went in place of me.
அவனுக்குக் கடல் என்றால் பயம்	He's afraid of the sea.
அவள் அறையை விட்டு வெளியே சென்றாள்	She went out of the room.
உன்னிடம் நிறைய பேனாக்கள் இருக்கின்றனவா?	Do you have a lot of pens?
அவர் உங்களுடைய நண்பரா?	Is he a friend of yours?
வானம் முழுவதும் நட்சத்திரங்கள் இருக்கின்றன	The sky is full of stars.
நான் ஒரு ஜோடி காலணிகளை வாங்கினேன்	He bought a pair of shoes.
என்னிடம் பேசு	Talk to me!
போய் தூங்கு	Go to sleep.
அவளிடம் கொடு	Give it to her.
அதை நான் பார்க்கிறேன்	I'll see to it.
உன் கையில்தான் இருக்கிறது	It's up to you.
என்னிடம் விட்டுவிடு	Leave it to me.
இதைக் கேள்	Listen to this!
என்னிடம் பொய் சொல்லாதே	Don't lie to me.
அவன் ஓட ஆரம்பித்தான்	He began to run.
அவன் ஓட விருப்பப் படுகிறான்	He likes to run.
நான் தூங்க விரும்புகிறேன்	I want to sleep.
என்னால் ஓட முடிகிறது	I'm able to run.
எப்படி பனியில் சறுக்கி விளையாடுவது என்பது எனக்கு தெரியும்	I know how to ski.
வலது பக்கத்தை கடைப் பிடி	Keep to the right.
என்ன செய்வது என்பது எனக்குத் தெரியும்	I know what to do.
அவள் பாட ஆரம்பித்தாள்	She began to sing.
அவள் போகத் தீர்மானித்தாள்	She decided to go.
நான் படிக்க வேண்டுமா?	Do I have to study?
அவன் வருவது நிச்சயம்	He is sure to come.
நான் வீட்டிற்கு நடக்க வேண்டியிருந்தது	I had to walk home.
நான் ஆடை அணிய வேண்டும்	I have to dress up.
நான் அவனை வரச் சொன்னேன்	I told him to come.
நான் உன்னிடம் பேசலாமா?	May I speak to you?
அவள் இதை அவனுக்குக் கொடுத்தாள்	She gave it to him.
அவள் அவனிடம் அன்பாக இருக்கிறாள்	She is kind to him.
அவள் எனக்கு அருகில் அமர்ந்தாள்	She sat next to me.
நான் என்ன செய்ய வேண்டும் என்று சொல்	Tell me what to do.
நாங்கள் நடக்க ஆரம்பித்தோம்	We started to walk.
நீங்கள் போகத் தயாராக இருக்கிறீர்களா?	Are you ready to go?
அவள் சொல்வதைக் கேட்காதீர்	Don't listen to her.
அவனுக்கு நம்மைப் தெரியும் என்று தோன்றுகிறது	He seems to know us.
எனக்கு அவளோடு நிச்சயமாகியிருக்கு	I am engaged to her.
நான் இப்பொழுது கிளம்ப வேண்டும்	I have to leave now.
நான் வெளி நாட்டிற்குச் செல்ல விரும்புகிறேன்	I want to go abroad.
உன்னைப் பார்ப்பதில் நான் மகிழ்ச்சி அடைகிறேன்	I'm glad to see you.
நான் தூங்குவதற்கு முயற்சி செய்து கொண்டிருக்கிறேன்	I'm trying to sleep.
தூக்கத்திலிருந்து எழுவதற்கான நேரம் இது	It's time to get up.
என் கூட யாரும் பேசுவதில்லை	Nobody speaks to me.
அவன் வருவான் என எதிர் பார்க்கிறேன்	I expect him to come.
வயோதிகர்களிடம் அன்பாக இரு	Be kind to old people.
நீ வர வேண்டுமென விரும்புகிறேன்		I just want you to come.
எங்களை உதவி செய்யும்படி கேட்டான்	He asked us to help him.
நான் ஒரு வழி காட்டப் பட்டுக் கொண்டு இருக்கிறேன்	I am being guided.
நான் ஒரு வழி காட்டப் படுகிறேன்	I am guided.
அவன் வழி காட்டிக் கொண்டு இருக்கிறான்	He is guiding.
அவன் வழி காட்டப் பட்டுக் கொண்டு இருக்கிறான்	He is being guided.
அவன் வழி காட்டப் படுகிறான்	He is guided.
நீ ஒரு வழி காட்டி	You are a guide.
நீ வழி காட்டப் படுகிறாய்	You are leading the way.
நான் வழி காட்டப் பட்டுக் கொண்டு இருக்க வில்லை	I am not being guided.
நான் வழி காட்டப் பட வில்லை	I am not guided.
ஒரு நாயின் படத்தை வரைந்தான்	He painted a picture of a dog.
இந்த ஊரின் ஒவ்வொரு அங்குலமும் எனக்குத் தெரியும்	I know every inch of the town.
மற்றவர்களுக்கு முன்னே நான் வந்தேன்	I arrived ahead of the others.
அவள் எதற்கும் பயப்படுவதில்லை	She is not afraid of anything.
